客群,选题分类,选题标题,核心钩子（开场3秒话术）,内容要点,适合平台,转化目标
职场人,汇报演讲,领导让你5分钟汇报怎么开头让他眼前一亮,"你以为汇报是讲数据？错了，前30秒决定老板要不要继续听","三种开场法：数据反差/痛点共鸣/结论先行；3个案例；现场示范一段",抖音/视频号/小红书,试听课
职场人,汇报演讲,周会发言总是没人听因为你没说这3句话,"为什么你发言别人都在玩手机？因为你犯了这个错","开场不带钩子；信息密度低；没有结尾CTA；正反对比示范",抖音/视频号,试听课
职场人,职场沟通,跨部门撕逼时高情商的人都怎么说,"上次跨部门撕逼你输了对吧？我教你3句话翻盘","情绪先剥离；用对方利益重新框定；落到行动方案",小红书/知乎,加微信咨询
职场人,职场沟通,老板问你怎么看怎么回答显得有水平,"老板一句你怎么看让多少人原地宕机？背下这个模板","判断+理由+方案的3段结构；3个真实场景演示",抖音/小红书,试听课
职场人,职场沟通,给领导发微信开头千万别说在吗,"给领导发在吗等于自杀，正确的开头是这5种","场景化对比；高效沟通的SCQA模型；微信话术模板10条",小红书/公众号,公众号关注
职场人,克服紧张,在大会上发言紧张到颤抖我用过这3招立竿见影,"上台前心跳200次每分钟？这3个生理小技巧救了我","生理调节：4-7-8呼吸法；预演法；锚定法；30天训练计划",抖音/视频号/小红书,试听课
职场人,个人形象,怎么让自己说话听起来更有领导味,"为什么有的人一开口就让人觉得是领导？秘密在这3点","语速控制；停顿艺术；用词升级；语调下沉；现场示范",抖音/视频号,试听课
职场人,临场反应,当众被质疑时怎么不慌不忙地反击,"被当众质疑别慌，记住这个3步法稳赢","承认部分合理；重新定义问题；给出新视角；3个真实案例",小红书/知乎,加微信咨询
职场人,述职演讲,述职报告的金句模板照着写就过关,"述职用这5个金句结构，老板印象分直接拉满","开场金句3条；过程金句3条；结尾金句3条；可下载模板",小红书/公众号,公众号关注
职场人,职场沟通,同事抢你功劳当场怎么回怼最有水平,"同事在老板面前抢你功劳？这3句话不撕逼还能拿回主导权","不否定对方但补充关键贡献；引用数据；落到下一步行动",抖音/小红书,加微信咨询
职场人,商务谈判,客户嫌贵3句话让他主动加预算,"客户说太贵了？顶级销售从不降价而是这样接话","价值锚定；对比转换；风险反推；现场对话演示",抖音/视频号,试听课
职场人,主持表达,主持公司年会怎么开场不冷场,"年会主持开场冷场是大忌，这4种开场100%炸场","互动开场；故事开场；悬念开场；数据开场；现场示范",小红书/视频号,试听课
职场人,商务谈判,跟老板谈加薪第一句话决定结果,"谈加薪开口就说工作辛苦的人，基本都失败了","用价值开场而非诉苦；BATNA准备；现场对话演示",抖音/小红书,试听课
职场人,自我介绍,新人入职自我介绍记住这个公式,"新人自我介绍说太多说太少都错，背下这个公式","姓名+亮点+连接点+幽默收尾；3个不同场景模板",小红书/抖音,试听课
职场人,演讲技巧,怎么让你的PPT演讲不再像念稿子,"PPT演讲念稿子？观众早就走神了！3招让你脱稿","信息分层；眼神连接；动作配合；现场前后对比",抖音/视频号,试听课
职场人,克服紧张,上台前手心冒汗3个生理小技巧立刻平静,"上台前紧张到崩溃？这3个生理技巧10秒见效","冷水洗手；强势体态；正念呼吸；亲身演示",抖音/小红书,试听课
职场人,团建表达,团建破冰发言的5个万能模板,"团建被cue发言？这5个模板抄了就能用","互动型；故事型；问题型；自嘲型；展望型",小红书/公众号,公众号关注
职场人,管理沟通,跟下属谈话怎么说话他才服你,"管不住下属？大概率是你说话犯了这3个错","少用命令多用问题；先认可后建议；明确边界",抖音/视频号/知乎,加微信咨询
职场人,面试表达,面试官问你的缺点是什么标准答案是,"面试官问缺点千万别说完美主义，正确答案是这种","承认真实缺点+正在改进的行动+举例；3个示范",小红书/抖音,试听课
职场人,结构表达,高管开会都用的3点法表达结构,"为什么高管说话都用3点？背后是这个表达底层逻辑","金字塔原理简化版；3点法模板；3个场景应用",小红书/知乎/公众号,公众号关注
