字段名,字段类型,是否必填,枚举值/示例,说明
线索ID,自动编号,是,LD-2026-0001,飞书自动生成
来源平台,单选,是,抖音/视频号/小红书/知乎/公众号/视频号直播,首次接触的平台
来源内容,文本,否,选题ID或视频链接,关联到「内容产出」表
关键词触发,文本,否,试听/咨询/价格,从评论或私信中识别到的关键词
线索昵称,文本,是,XX的妈妈,平台账号昵称
微信/手机,文本,否,138****1234,有就填，无填空
意向客群,单选,是,职场人/宝妈成人/主播销售,影响后续话术分配
意向课程,多选,否,职场表达课/克服社恐营/直播口才营/1V1陪练,匹配课程
首次互动时间,日期时间,是,2026-05-27 14:32,评论或私信时间
首次互动内容,长文本,是,"如：扣1求试听课",原始用户消息
跟进状态,单选,是,新线索/已加微/沟通中/已报名/已流失/已成交,看板核心字段
意向等级,单选,是,A高/B中/C低/D观察,A级 24h 内必跟进
负责销售,人员,是,@张三,自动按客群分配
最后跟进时间,日期时间,否,2026-05-27 18:00,自动更新
下次跟进时间,日期时间,否,2026-05-28 10:00,触发提醒
跟进次数,数字,否,3,自动累计
跟进备注,长文本,否,"客户反馈孩子要中考，需要快速见效",每次跟进追加
是否到课,复选框,否,☑️,试听课到场标记
报名课程,文本,否,职场表达 21 天营,成交后填写
成交金额,货币,否,3980,成交后填写
成交时间,日期时间,否,2026-06-15,成交后填写
退款/复购,单选,否,无/退款/复购,售后状态
线索标签,多选,否,高意向/犹豫/已比价/价格敏感/快速决策,辅助二次触达分群
